time,drone_x,drone_y,drone_z,target_x,target_y,target_z,error_x,error_y,error_z,position_error,pixel_x,pixel_y,target_radius_px,image_center_x,image_center_y,pixel_error_x,pixel_error_y,vx_command,vz_command,yaw_rate_command,commanded_yaw,tracking_state
1.5194447040557861,-3.864377562316043e-25,6.867394863885855e-22,1.00000197767458,0.0,0.0,1.0,3.864377562316043e-25,-6.867394863885855e-22,-1.9776745801003415e-06,1.9776745801003415e-06,,,,160.0,120.0,,,0.0,0.0,0.6,0.012500000000000178,SEARCHING
1.7529575824737549,-2.9704904657144134e-23,1.3720606589551486e-20,1.0000044924259293,0.0,0.0,1.0,2.9704904657144134e-23,-1.3720606589551486e-20,-4.492425929258914e-06,4.492425929258914e-06,,,,160.0,120.0,,,0.0,0.0,0.6,0.025000000000000355,SEARCHING
1.8344817161560059,-1.603080458823119e-22,5.372671613408068e-20,1.0000068364278787,0.0,0.0,1.0,1.603080458823119e-22,-5.372671613408068e-20,-6.83642787868699e-06,6.83642787868699e-06,,,,160.0,120.0,,,0.0,0.0,0.6,0.03750000000000053,SEARCHING
1.9154953956604004,-3.930782861391403e-22,1.2161356455838298e-19,1.0000116689632497,0.0,0.0,1.0,3.930782861391403e-22,-1.2161356455838298e-19,-1.166896324966693e-05,1.166896324966693e-05,,,,160.0,120.0,,,0.0,0.0,0.6,0.05000000000000071,SEARCHING
2.011552095413208,-2.0277217317995274e-21,2.1182021602485834e-19,1.000016571260054,0.0,0.0,1.0,2.0277217317995274e-21,-2.1182021602485834e-19,-1.6571260053943604e-05,1.6571260053943604e-05,,,,160.0,120.0,,,0.0,0.0,0.6,0.06250000000000089,SEARCHING
2.0910770893096924,-2.542981021682559e-20,4.03937854939505e-19,1.000024343800842,0.0,0.0,1.0,2.542981021682559e-20,-4.03937854939505e-19,-2.4343800842041574e-05,2.4343800842041574e-05,,,,160.0,120.0,,,0.0,0.0,0.6,0.07500000000000107,SEARCHING
2.1836013793945312,-1.0420876266741101e-20,6.575827875119573e-19,1.0000352315442007,0.0,0.0,1.0,1.0420876266741101e-20,-6.575827875119573e-19,-3.523154420070895e-05,3.523154420070895e-05,,,,160.0,120.0,,,0.0,0.0,0.6,0.08750000000000124,SEARCHING
2.2739131450653076,5.960719406612804e-20,8.163852025142906e-19,1.0000468860729363,0.0,0.0,1.0,-5.960719406612804e-20,-8.163852025142906e-19,-4.688607293634739e-05,4.688607293634739e-05,,,,160.0,120.0,,,0.0,0.0,0.6,0.10000000000000142,SEARCHING
2.3559744358062744,8.835465346399972e-20,1.1022886775979877e-18,1.0000644684708224,0.0,0.0,1.0,-8.835465346399972e-20,-1.1022886775979877e-18,-6.44684708224208e-05,6.44684708224208e-05,,,,160.0,120.0,,,0.0,0.0,0.6,0.1125000000000016,SEARCHING
2.448493242263794,2.90585484724114e-19,1.3816641571716834e-18,1.0000805483828674,0.0,0.0,1.0,-2.90585484724114e-19,-1.3816641571716834e-18,-8.054838286741806e-05,8.054838286741806e-05,,,,160.0,120.0,,,0.0,0.0,0.6,0.12500000000000178,SEARCHING
2.543022871017456,5.790320897348499e-19,1.450228025803556e-18,1.0000982200793358,0.0,0.0,1.0,-5.790320897348499e-19,-1.450228025803556e-18,-9.82200793357979e-05,9.82200793357979e-05,,,,160.0,120.0,,,0.0,0.0,0.6,0.13750000000000195,SEARCHING
2.6372618675231934,7.428424192518365e-19,1.907507478717547e-18,1.0001138866263208,0.0,0.0,1.0,-7.428424192518365e-19,-1.907507478717547e-18,-0.00011388662632083602,0.00011388662632083602,,,,160.0,120.0,,,0.0,0.0,0.6,0.15000000000000213,SEARCHING
